ID_POSTE,ID_IP,CIDADE,TIPO_LAMPADA,POTENCIA_W,RELE_INDIVIDUAL,UC_AGRUPADORA,UTM_X,UTM_Y,LONGITUDE,LATITUDE
6187776.0,22442440,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,579394,7480130,-50.226523852931,-22.784483352027
6188494.0,22442441,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,579496,7480168,-50.2255321512173,-22.7841352830381
6188311.0,22442442,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,579316,7480124,-50.2272833898601,-22.7845412310845
6188308.0,22442443,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,579339,7480115,-50.2270588756446,-22.7846214415744
6188307.0,22442444,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,579368,7480105,-50.2267758607671,-22.784710401347
6457889.0,22442445,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,579796,7478543,-50.2225264749141,-22.7987994491459
6457891.0,22442446,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,579821,7478605,-50.2222860878358,-22.7982382254193
5741814.0,22442447,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,579781,7478463,-50.2226685157442,-22.7995227887583
6457886.0,22442448,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,579714,7478491,-50.22332270474169,-22.7992730497993
6457887.0,22442449,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,579682,7478504,-50.22363513331329,-22.7991571409809
6457885.0,22442450,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,579693,7478476,-50.2235265320464,-22.7994095387635
6457892.0,22442451,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,579707,7478511,-50.22339192650221,-22.7990927251116
6457893.0,22442452,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,579718,7478538,-50.2232861398353,-22.7988483164439
6457894.0,22442453,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,579729,7478569,-50.2231805582826,-22.7985677763422
6457895.0,22442454,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,579741,7478599,-50.2230651834133,-22.79829622155
5741599.0,22442455,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,579695,7478336,-50.2234998830718,-22.8006740415934
6457698.0,22442456,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,579804,7478368,-50.22243956763711,-22.8003798159642
6457699.0,22442457,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,579814,7478395,-50.22234352443759,-22.8001354542361
5741601.0,22442458,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,579716,7478346,-50.22329579803229,-22.8005827167639
5741602.0,22442459,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,579724,7478367,-50.2232189313939,-22.8003926474702
5741603.0,22442460,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,579735,7478395,-50.22311319530611,-22.8001392058681
5741604.0,22442461,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,579746,7478422,-50.2230074083947,-22.7998947970386
6457881.0,22442462,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,579650,7478372,-50.22394014612231,-22.8003509936404
6457882.0,22442463,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,579659,7478393,-50.2238535360263,-22.8001608772107
6457695.0,22442464,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,579627,7478362,-50.224163716666,-22.8004424124551
5444915.0,22442465,PALMITAL,Vapor de Sódio,250.0,Sim,2100636,581226,7479315,-50.2086348721214,-22.7917575851889
6171450.0,22442466,PALMITAL,Vapor de Sódio,250.0,Sim,2100636,581278,7479361,-50.2081306854382,-22.7913395614706
5129765.0,22442467,PALMITAL,Led,100.0,Sim,2100636,581122,7479479,-50.2096565822386,-22.7902812259899
5446290.0,22442468,PALMITAL,Vapor de Sódio,250.0,Sim,2100636,581012,7479519,-50.2107302750605,-22.7899252188864
6171295.0,22442469,PALMITAL,Led,100.0,Sim,2100636,581270,7479425,-50.2082119593983,-22.7907618480185
6172197.0,22442470,PALMITAL,Led,100.0,Sim,2100636,581236,7479437,-50.2085438119414,-22.7906550979889
5811403.0,22442471,PALMITAL,Led,100.0,Sim,2100636,581203,7479449,-50.2088659220324,-22.7905482989364
6172538.0,22442472,PALMITAL,Led,100.0,Sim,2100636,581179,7479458,-50.2091001978208,-22.7904681629834
6172539.0,22442473,PALMITAL,Led,100.0,Sim,2100636,581152,7479468,-50.2093637512575,-22.7903791387174
5446288.0,22442474,PALMITAL,Led,100.0,Sim,2100636,581092,7479489,-50.20994936077911,-22.7901923455343
5143598.0,22442475,PALMITAL,Led,100.0,Sim,2100636,581067,7479499,-50.2101934293206,-22.7901032233632
5446289.0,22442476,PALMITAL,Led,100.0,Sim,2100636,581038,7479509,-50.2104764652403,-22.7900142936827
5129680.0,22442477,PALMITAL,Vapor de Sódio,250.0,Sim,2100636,580985,7479515,-50.2109930989184,-22.7899626514141
5447994.0,22442478,PALMITAL,Led,100.0,Sim,2100636,581158,7479451,-50.20930441421729,-22.7905324069454
5811400.0,22442479,PALMITAL,Led,100.0,Sim,2100636,581189,7479439,-50.209001788401,-22.7906393035128
5445331.0,22442480,PALMITAL,Led,100.0,Sim,2100636,580979,7479531,-50.2110523818603,-22.7898184153123
6173020.0,22442481,PALMITAL,Led,100.0,Sim,2100636,580952,7479541,-50.2113159328728,-22.7897293877424
6173021.0,22442482,PALMITAL,Led,100.0,Sim,2100636,580920,7479552,-50.2116282449683,-22.7896315676382
6173022.0,22442483,PALMITAL,Led,100.0,Sim,2100636,580900,7479560,-50.2118234982124,-22.7895602678247
6173023.0,22442484,PALMITAL,Led,100.0,Sim,2100636,580876,7479572,-50.2120579263987,-22.7894530289375
5445300.0,22442485,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,580204,7480353,-50.2186446660193,-22.7824305781266
5445299.0,22442486,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,580234,7480343,-50.2183519093261,-22.7825194752494
5446268.0,22442487,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,580210,7480447,-50.218591053727,-22.7815812039383
5446268.0,22442488,PALMITAL,Vapor Metálico,250.0,Sim,2100636,580210,7480447,-50.218591053727,-22.7815812039383
5446029.0,22442489,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,580202,7480419,-50.21866754408131,-22.7818345053912
5129877.0,22442490,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,580241,7480552,-50.21829447601601,-22.7806312754416
6172999.0,22442491,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,580264,7480570,-50.2180713533492,-22.7804675863734
6171861.0,22442492,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,580291,7480560,-50.2178078243495,-22.7805566258279
6171617.0,22442493,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,580315,7480552,-50.21757362186089,-22.7806277424355
6172995.0,22442494,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,580275,7480487,-50.2179599261069,-22.7812167878535
6172996.0,22442495,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,580241,7480499,-50.2182917483884,-22.7811100165578
6172997.0,22442496,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,580205,7480512,-50.218643104216,-22.780994307107
5129876.0,22442497,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,580216,7480467,-50.2185336346873,-22.7814002606756
5445306.0,22442498,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,580224,7480494,-50.21845709334379,-22.7811559920099
5445307.0,22442499,PALMITAL,Vapor de Sódio,250.0,Sim,2100636,580232,7480520,-50.218380500801,-22.7809207561589
5446046.0,22442500,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,580251,7480585,-50.2181987617927,-22.7803327140997
6172351.0,22442501,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,580260,7480616,-50.2181126862484,-22.7800522661361
5453608.0,22442502,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,580182,7480599,-50.21887162818841,-22.780209545874
6174726.0,22442503,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,580206,7480590,-50.21863737535829,-22.7802896969307
6172998.0,22442504,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,580235,7480580,-50.21835436453,-22.7803786419087
6188306.0,22442505,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,579397,7480095,-50.2264928455368,-22.7847993606063
6188987.0,22442506,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,579429,7480083,-50.22618050326101,-22.7849062433376
6188986.0,22442507,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,579460,7480072,-50.2258779530931,-22.7850041398469
6188836.0,22442508,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,579479,7480058,-50.2256921488389,-22.7851297017411
6188985.0,22442509,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,579491,7480061,-50.2255754025095,-22.7851020357693
36962823.0,22442510,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,579526,7480048,-50.2252337830177,-22.7852178076054
6188837.0,22442511,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,579491,7480091,-50.2255769323719,-22.7848310499008
6188495.0,22442512,PALMITAL,Vapor de Sódio,100.0,Sim,2100636,579530,7480156,-50.2252003266907,-22.7842420693059
6188838.0,22442513,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,579503,7480123,-50.2254616653865,-22.7845414308427
6188846.0,22442514,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,579514,7480154,-50.22535608940951,-22.7842608918645
6188847.0,22442515,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,579526,7480187,-50.2252408743509,-22.7839622397898
6174171.0,22442516,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,579556,7480146,-50.2249465361589,-22.784331167744
6174172.0,22442517,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,579585,7480135,-50.22466346958281,-22.784429156612
5454764.0,22442518,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,579432,7480192,-50.2261568326781,-22.7839215193982
5454762.0,22442519,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,579402,7480203,-50.2264496387323,-22.7838235750459
6188489.0,22442520,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,579376,7480213,-50.2267034274149,-22.783734474158
6188488.0,22442521,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,579356,7480221,-50.2268986649248,-22.7836631553884
5129142.0,22442522,PALMITAL,Vapor de Sódio,250.0,Sim,2100636,580653,7480136,-50.2142595524463,-22.7843692255239
5143791.0,22442523,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,580627,7480205,-50.2145164009986,-22.7837472067523
5677021.0,22442524,PALMITAL,Vapor de Sódio,150.0,Sim,2100636,580659,7480193,-50.21420405257351,-22.783854065856
